template_id,category,folder_path,source_file,data_file,output_file,runtime_status,notes
01*CLU*001,clustering_reduction,templates/01_CLU_clustering_reduction/01_CLU_001,主成分分析（PCA）与相关性热图的组合图.py,data/data.xlsx,output/preview.png,passed,
01*CLU*002,clustering_reduction,templates/01_CLU_clustering_reduction/01_CLU_002,Spearman层次聚类相关性热图.py,data/simulated_data.xlsx,output/preview.png,passed,
01*CLU*003,clustering_reduction,templates/01_CLU_clustering_reduction/01_CLU_003,PCoA分析图.py,data/simulated_abundance_data.xlsx,output/preview.png,passed,
01*CLU*004,clustering_reduction,templates/01_CLU_clustering_reduction/01_CLU_004,RDA冗余分析.py,data/data.xlsx | data/rda_analysis_results.xlsx,output/preview.png,passed,
02*CMP*001,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_001,环状条形图.py,,output/preview.png,passed,
02*CMP*002,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_002,三元图.py,data/simulated_data.xlsx,output/preview.png,passed,
02*CMP*003,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_003,相关性分析堆叠条形图.py,data/data.xlsx,output/preview.png,passed,
02*CMP*004,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_004,流动趋势百分比堆叠图.py,,output/preview.png,passed,
02*CMP*005,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_005,渐变单因子条形图.py,,output/preview.png,passed,
02*CMP*006,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_006,横轴百分比堆叠图.py,,output/preview.png,passed,
02*CMP*007,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_007,多组环形图.py,,output/preview.png,passed,
02*CMP*008,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_008,多指标雷达对比图.py,data/radar_chart_data.xlsx,output/preview.png,passed,
02*CMP*009,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_009,自由组合南丁格尔玫瑰图.py,,output/preview.png,passed,
02*CMP*010,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_010,百分比堆叠、内嵌饼图与箱线图报告.py,data/data.xlsx,output/preview.png,passed,
02*CMP*011,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_011,径向堆叠图.py,data/radial_chart_data.xlsx,output/preview.png,passed,
02*CMP*012,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_012,SHAP组合分析图.py,data/0601练习数据.xlsx,output/preview.png,passed,
02*CMP*013,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_013,3D条带图.py,data/data.xlsx,output/preview.png,passed,
02*CMP*014,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_014,三维瀑布图.py,data/瀑布图/simulated_gaussian_data.xlsx,output/preview.png,passed,
02*CMP*015,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_015,三维堆叠图.py,data/3D堆叠图/simulated_data.xlsx,output/preview.png,passed,
02*CMP*016,comparison_ranking,templates/02_CMP_comparison_ranking/02_CMP_016,3D柱状图.py,data/data.xlsx,output/preview.png,passed,
03*EVL*001,composite_evaluation,templates/03_EVL_composite_evaluation/03_EVL_001,机器学习多维度评估环形图.py,data/simulated_binary_data.xlsx | data/simulated_multiclass_data.xlsx | data/simulated_regression_data.xlsx,output/preview.png,passed,
03*EVL*002,composite_evaluation,templates/03_EVL_composite_evaluation/03_EVL_002,多组学验证环形热图.py,data/data.xlsx,output/preview.png,passed,
04*DIS*001,distribution_uncertainty,templates/04_DIS_distribution_uncertainty/04_DIS_001,组合箱线图.py,data/dataset_1.xlsx | data/dataset_10.xlsx | data/dataset_11.xlsx | ...(+9),output/preview.png,passed,
04*DIS*002,distribution_uncertainty,templates/04_DIS_distribution_uncertainty/04_DIS_002,山脊分布图.py,data/simulated_mpl_data.xlsx,output/preview.png,passed,
04*DIS*003,distribution_uncertainty,templates/04_DIS_distribution_uncertainty/04_DIS_003,均值变化小提琴图.py,data/violin_plot_group_1_data.xlsx | data/violin_plot_group_2_data.xlsx | data/violin_plot_group_3_data.xlsx | ...(+1),output/preview.png,passed,
04*DIS*004,distribution_uncertainty,templates/04_DIS_distribution_uncertainty/04_DIS_004,秩和检验分布图.py,data/data.xlsx,output/preview.png,passed,
04*DIS*005,distribution_uncertainty,templates/04_DIS_distribution_uncertainty/04_DIS_005,带显著性标记与误差棒的环形柱状图.py,,output/preview.png,passed,
04*DIS*006,distribution_uncertainty,templates/04_DIS_distribution_uncertainty/04_DIS_006,Tukey HSD检验小提琴图.py,data/simulated_data.xlsx,output/preview.png,passed,
05*MPN*001,multi_panel_report,templates/05_MPN_multi_panel_report/05_MPN_001,RF变量重要性与相关性分析组合图.py,data/analysis_results.xlsx | data/data.xlsx,output/preview.png,passed,
05*MPN*002,multi_panel_report,templates/05_MPN_multi_panel_report/05_MPN_002,散点矩阵与时间序列回归报告.py,data/simulated_data.xlsx,output/preview.png,passed,
05*MPN*003,multi_panel_report,templates/05_MPN_multi_panel_report/05_MPN_003,绘图结果后处理.py,data/shap_grid_combined.png,output/preview.png,passed,
05*MPN*004,multi_panel_report,templates/05_MPN_multi_panel_report/05_MPN_004,三维组合分析图.py,data/3DZHdata.xlsx,output/preview.png,passed,
06*NET*001,network_flow,templates/06_NET_network_flow/06_NET_001,关系和弦图.py,data/data.xlsx,output/preview.png,passed,
